age,income,tenure_months,signup_date,plan_type,churn
62,52500.1,58,2022-01-01,enterprise,0
65,59525.47,10,2022-01-02,basic,0
18,85747.17,45,2022-01-03,basic,0
21,64167.19,16,2022-01-04,enterprise,0
21,36307.67,39,2022-01-05,basic,0
57,66755.24,15,2022-01-06,pro,0
27,30261.39,34,2022-01-07,pro,0
37,43076.23,5,2022-01-08,basic,1
39,48976.38,17,2022-01-09,pro,0
68,75700.14,37,2022-01-10,enterprise,0
54,38828.68,8,2022-01-11,basic,1
41,37603.42,24,2022-01-12,pro,0
24,48523.21,28,2022-01-13,basic,0
42,40047.83,47,2022-01-14,enterprise,0
42,66899.54,8,2022-01-15,pro,0
30,33801.03,23,2022-01-16,enterprise,0
19,32787.97,35,2022-01-17,basic,0
56,43432.7,31,2022-01-18,basic,0
57,42529.51,55,2022-01-19,pro,0
41,78942.98,17,2022-01-20,enterprise,0
64,64241.31,28,2022-01-21,basic,0
42,51313.27,48,2022-01-22,enterprise,0
35,31618.47,48,2022-01-23,enterprise,0
55,62665.44,51,2022-01-24,pro,0
43,34996.77,12,2022-01-25,enterprise,0
31,26828.43,24,2022-01-26,basic,0
26,67820.45,15,2022-01-27,basic,0
27,54754.14,40,2022-01-28,pro,0
38,63812.88,31,2022-01-29,enterprise,0
69,54780.91,27,2022-01-30,basic,0
34,,35,2022-01-31,basic,0
69,40234.62,55,2022-02-01,pro,0
23,34486.36,18,2022-02-02,enterprise,0
33,,36,2022-02-03,enterprise,0
65,37948.86,8,2022-02-04,enterprise,1
18,39656.75,46,2022-02-05,basic,0
36,43167.01,49,2022-02-06,basic,0
53,50262.19,38,2022-02-07,pro,0
42,44690.09,5,2022-02-08,basic,1
67,29375.73,54,2022-02-09,pro,0
69,40345.72,14,2022-02-10,pro,0
47,,38,2022-02-11,enterprise,0
37,59378.47,20,2022-02-12,pro,0
37,25969.14,44,2022-02-13,enterprise,0
32,33434.25,9,2022-02-14,enterprise,1
57,50782.48,33,2022-02-15,basic,0
50,38906.56,18,2022-02-16,basic,0
19,,6,2022-02-17,pro,0
27,30607.15,37,2022-02-18,pro,0
50,54005.76,2,2022-02-19,pro,0
49,49410.76,30,2022-02-20,pro,0
28,32478.6,6,2022-02-21,basic,1
41,57849.15,17,2022-02-22,pro,0
53,47426.81,39,2022-02-23,enterprise,0
29,61576.86,57,2022-02-24,basic,0
68,62352.56,41,2022-02-25,enterprise,0
46,82448.54,23,2022-02-26,pro,0
52,70047.92,31,2022-02-27,basic,0
18,44462.27,20,2022-02-28,enterprise,0
18,46409.31,5,2022-03-01,basic,0
54,66494.89,21,2022-03-02,enterprise,0
23,59828.96,43,2022-03-03,basic,0
56,59601.97,11,2022-03-04,enterprise,0
58,25745.66,4,2022-03-05,enterprise,1
35,49635.11,23,2022-03-06,enterprise,0
33,38929.54,38,2022-03-07,basic,0
22,54198.87,59,2022-03-08,enterprise,0
59,48527.74,30,2022-03-09,enterprise,0
60,63652.68,42,2022-03-10,pro,0
49,54758.27,41,2022-03-11,enterprise,0
19,61794.92,18,2022-03-12,pro,0
19,43003.71,52,2022-03-13,basic,0
57,35833.31,41,2022-03-14,enterprise,0
59,43849.25,43,2022-03-15,basic,0
53,49744.69,31,2022-03-16,pro,0
56,55687.28,30,2022-03-17,pro,0
29,83889.63,34,2022-03-18,basic,0
64,49366.14,31,2022-03-19,enterprise,0
36,35660.82,47,2022-03-20,basic,0
45,,38,2022-03-21,pro,0
18,43046.06,25,2022-03-22,pro,0
32,57222.22,17,2022-03-23,enterprise,0
53,26888.04,36,2022-03-24,pro,0
30,50948.93,40,2022-03-25,enterprise,0
60,52347.6,30,2022-03-26,enterprise,0
38,53482.72,2,2022-03-27,enterprise,0
29,41040.26,24,2022-03-28,pro,0
22,46431.17,9,2022-03-29,basic,0
24,28639.09,1,2022-03-30,basic,1
22,42600.2,24,2022-03-31,pro,0
65,41857.08,38,2022-04-01,basic,0
21,56240.75,48,2022-04-02,basic,0
30,32657.26,27,2022-04-03,pro,0
54,61717.97,26,2022-04-04,basic,0
58,72417.27,26,2022-04-05,pro,0
32,18950.22,7,2022-04-06,enterprise,1
33,56393.88,25,2022-04-07,enterprise,0
38,60153.62,56,2022-04-08,basic,0
53,40438.44,16,2022-04-09,pro,0
41,44040.92,38,2022-04-10,enterprise,0
33,48006.79,42,2022-04-11,pro,0
31,45533.14,18,2022-04-12,pro,0
39,45364.81,17,2022-04-13,pro,0
66,24859.94,49,2022-04-14,basic,0
67,67284.97,44,2022-04-15,enterprise,0
23,66194.28,47,2022-04-16,basic,0
59,37799.54,6,2022-04-17,pro,1
53,28003.64,55,2022-04-18,enterprise,0
18,57815.97,20,2022-04-19,basic,0
49,41363.18,48,2022-04-20,enterprise,0
23,52129.3,23,2022-04-21,basic,0
48,45210.07,46,2022-04-22,pro,0
18,60373.08,12,2022-04-23,enterprise,0
67,60421.24,12,2022-04-24,pro,0
68,39116.04,34,2022-04-25,pro,0
54,29249.54,8,2022-04-26,enterprise,1
52,26255.92,56,2022-04-27,enterprise,0
66,,27,2022-04-28,basic,0
47,32167.11,49,2022-04-29,basic,0
21,42397.75,8,2022-04-30,pro,1
52,41055.29,48,2022-05-01,basic,0
60,49211.49,55,2022-05-02,enterprise,0
31,20955.8,33,2022-05-03,enterprise,0
66,52831.68,37,2022-05-04,enterprise,0
57,57858.37,19,2022-05-05,pro,0
39,51326.33,24,2022-05-06,basic,0
27,45336.71,22,2022-05-07,basic,0
18,51461.0,3,2022-05-08,basic,0
28,55985.7,9,2022-05-09,basic,0
68,8411.11,11,2022-05-10,basic,1
